filename,intra_channel_correction,channel_1,channel_2,channel_3
R1C1.tif,Yes,,,
R1C10.tif,No,R1C5.tif,R1C7.tif,
R1C11.tif,No,,,
R1C2.tif,Yes,R1C1.tif,,
R1C3.tif,Yes,,,
R1C4.tif,Yes,R1C1.tif,,
R1C5.tif,No,R1C10.tif,R1C6.tif,
R1C6.tif,Yes,R1C5.tif,R1C8.tif,
R1C7.tif,Yes,R1C10.tif,R1C5.tif,R1C8.tif
R1C8.tif,Yes,R1C7.tif,,
R1C9.tif,Yes,,,
R2C1.tif,Yes,,,
R2C10.tif,No,R2C7.tif,R2C8.tif,
R2C11.tif,No,,,
R2C2.tif,Yes,R2C1.tif,,
R2C3.tif,Yes,R2C5.tif,R2C6.tif,R2C8.tif
R2C4.tif,Yes,R2C6.tif,,
R2C5.tif,Yes,R2C3.tif,R2C6.tif,
R2C6.tif,Yes,R2C3.tif,R2C4.tif,R2C8.tif
R2C7.tif,Yes,R2C10.tif,R2C6.tif,R2C8.tif
R2C8.tif,Yes,R2C7.tif,R2C6.tif,R2C1.tif
R2C9.tif,Yes,,,
